DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_NATR_ACTE_JURDQ,NB_REQST
2021-11-01,"13","004",1210
2021-11-01,"14","004",1912
2021-11-01,"15","004",3135
2021-11-01,"16","004",5712
2021-11-01,"17","004",703
2021-12-01,"01","004",399
2021-12-01,"02","004",632
2021-12-01,"03","004",1764
2021-12-01,"04","004",724
2021-12-01,"05","004",894
2021-12-01,"06","004",3899
2021-12-01,"07","004",1381
2021-12-01,"08","004",341
2021-12-01,"09","004",179
2021-12-01,"11","004",156
2021-12-01,"12","004",980
2021-12-01,"13","004",979
2021-12-01,"14","004",1581
2021-12-01,"15","004",2594
2021-12-01,"16","004",4648
2021-12-01,"17","004",598
2022-01-01,"01","004",281
2022-01-01,"02","004",571
2022-01-01,"03","004",1456
2022-01-01,"04","004",544
2022-01-01,"05","004",746
2022-01-01,"06","004",3580
2022-01-01,"07","004",1232
2022-01-01,"08","004",291
2022-01-01,"09","004",102
2022-01-01,"11","004",129
2022-01-01,"12","004",749
2022-01-01,"13","004",820
2022-01-01,"14","004",1361
2022-01-01,"15","004",2285
2022-01-01,"16","004",4062
2022-01-01,"17","004",558
2022-02-01,"01","004",337
2022-02-01,"02","004",597
2022-02-01,"03","004",1641
2022-02-01,"04","004",622
2022-02-01,"05","004",820
2022-02-01,"06","004",3656
2022-02-01,"07","004",1321
2022-02-01,"08","004",295
2022-02-01,"09","004",136
2022-02-01,"11","004",154
2022-02-01,"12","004",930
2022-02-01,"13","004",978
2022-02-01,"14","004",1492
2022-02-01,"15","004",2365
2022-02-01,"16","004",4371
2022-02-01,"17","004",604
2022-03-01,"01","004",433
2022-03-01,"02","004",787
2022-03-01,"03","004",1906
2022-03-01,"04","004",767
2022-03-01,"05","004",923
2022-03-01,"06","004",4331
2022-03-01,"07","004",1462
2022-03-01,"08","004",356
2022-03-01,"09","004",149
2022-03-01,"11","004",209
2022-03-01,"12","004",1039
2022-03-01,"13","004",1157
2022-03-01,"14","004",1776
2022-03-01,"15","004",2823
2022-03-01,"16","004",5332
2022-03-01,"17","004",747
2022-04-01,"01","004",476
2022-04-01,"02","004",879
2022-04-01,"03","004",2078
2022-04-01,"04","004",778
2022-04-01,"05","004",1031
2022-04-01,"06","004",4315
2022-04-01,"07","004",1482
2022-04-01,"08","004",360
2022-04-01,"09","004",150
2022-04-01,"11","004",167
2022-04-01,"12","004",1191
2022-04-01,"13","004",1133
2022-04-01,"14","004",1868
2022-04-01,"15","004",2984
2022-04-01,"16","004",5387
2022-04-01,"17","004",815
2022-05-01,"01","004",596
2022-05-01,"02","004",1100
2022-05-01,"03","004",2910
2022-05-01,"04","004",994
2022-05-01,"05","004",1289
2022-05-01,"06","004",5177
2022-05-01,"07","004",1738
2022-05-01,"08","004",458
2022-05-01,"09","004",241
2022-05-01,"11","004",226
2022-05-01,"12","004",1559
2022-05-01,"13","004",1343
2022-05-01,"14","004",2199
2022-05-01,"15","004",3481
2022-05-01,"16","004",6586
2022-05-01,"17","004",949
2022-06-01,"01","004",720
2022-06-01,"02","004",1350
2022-06-01,"03","004",3592
2022-06-01,"04","004",1205
2022-06-01,"05","004",1454
2022-06-01,"06","004",5442
